Date,Portfolio,Equities,Bonds,REITs,Stress,Asset_Equities,Asset_Bonds,Asset_REITs,Asset_Stress
2019-08-01,12566.609238721456,2994.8956762802873,3124.8212582745878,3159.9985762386273,3286.8937279279526,SPY,VCIT,VNQ,GLD
2019-09-01,12551.909938551455,3188.05918366938,3128.9740594121754,3176.740853146624,3058.135842323274,SPY,VCIT,VNQ,TLT
2019-10-01,12683.322707108551,3222.153077841708,3159.3301509611556,3198.736687503382,3103.102790802304,SPY,VCIT,VNQ,TLT
2019-11-01,12744.78636013685,3285.608688885242,3171.7663112799137,3129.4725424196617,3157.938817552032,SPY,VCIT,VNQ,TLT
2019-12-01,12978.32439866534,3262.731354621841,3236.3011985771323,3176.6117986573404,3302.6800468090264,SPY,HYG,VNQ,GLD
2020-01-01,13418.745023472602,3259.2172031774667,3334.1048102924865,3319.6869091583376,3505.736100844312,SPY,VCIT,VNQ,TLT
2020-02-01,13163.286474210654,3089.110415701811,3384.1568171134695,3118.9690330435797,3571.050208351794,SPY,VCIT,VNQ,TLT
2020-03-01,13148.553562320787,3297.9468666468442,3051.346237118119,3297.9468666468442,3501.3135919089796,BIL,VCIT,BIL,TLT
2020-04-01,13359.173674140853,3288.11262985566,3455.6358461317304,3288.11262985566,3327.3125682978025,BIL,VCIT,BIL,TLT
2020-05-01,13696.751532689219,3498.919056967204,3431.004887525457,3340.594920764392,3426.232667432167,SPY,VCIT,BIL,GLD
2020-06-01,13820.082348610646,3469.6450595168703,3489.9700691569196,3424.710752041576,3435.75646789528,SPY,VCIT,BIL,TLT
2020-07-01,14482.769651205195,3674.593840806936,3524.9441043091592,3455.3983974855037,3827.8333086035955,SPY,VCIT,BIL,GLD
2020-08-01,14714.641109027725,3873.4055216672978,3611.566138908547,3620.692412801299,3608.9770356505805,SPY,VCIT,BIL,GLD
2020-09-01,14393.880080233212,3526.799941963038,3664.014777500869,3677.856877889416,3525.2084828798884,SPY,VCIT,BIL,GLD
