Date,Portfolio,Equities,Bonds,REITs,Stress,Asset_Equities,Asset_Bonds,Asset_REITs,Asset_Stress
2019-12-01,12933.630291039564,3251.496554201013,3225.156454630238,3165.670951148086,3291.3063310602274,SPY,HYG,VNQ,GLD
2020-01-01,13324.568359707362,3236.341764477434,3310.704822040354,3296.3894331143106,3481.1323400752635,SPY,VCIT,VNQ,TLT
2020-02-01,13070.902601105267,3067.4294276805404,3360.4054996144064,3097.0798129364057,3545.9878608739127,SPY,VCIT,VNQ,TLT
2020-03-01,13056.2750890762,3274.8018218979346,3029.9334312731426,3274.8018218979346,3476.73801400719,BIL,VCIT,BIL,TLT
2020-04-01,13265.416574725374,3265.0364829828695,3431.3819039677114,3265.0364829828695,3303.961704791922,BIL,VCIT,BIL,TLT
2020-05-01,13600.624579184905,3474.3629917204125,3406.9248205872536,3317.1500205968273,3402.186746280411,SPY,VCIT,BIL,GLD
2020-06-01,13694.911361096394,3438.2197779558696,3458.3610918621584,3393.693457577463,3404.6370337009025,SPY,VCIT,BIL,TLT
2020-07-01,14303.731077774624,3629.168097043196,3481.3693438441055,3412.680435642519,3780.513201244805,SPY,VCIT,BIL,GLD
2020-08-01,14532.735765032838,3825.521793926057,3566.918981794884,3575.932769443656,3564.3622198682415,SPY,VCIT,BIL,GLD
2020-09-01,14215.940045569885,3483.201613662449,3618.718809574038,3632.3904735997253,3481.629148733673,SPY,VCIT,BIL,GLD
2020-10-01,14117.76738688432,3479.243103324455,3548.624716322685,3554.3746946945125,3535.524872542666,SPY,VCIT,BIL,GLD
2020-11-01,14380.959024341817,3913.3636784093464,3599.9929103051954,3529.054896927844,3338.5475386994317,SPY,VCIT,BIL,GLD
2020-12-01,14756.971189885837,3712.611604977989,3601.7149441126644,3595.2397560854542,3847.4048847097297,SPY,VCIT,BIL,GLD
2021-01-01,14605.30394139267,3667.2135145654015,3678.41815807439,3689.3639073257627,3570.308361427116,SPY,VCIT,BIL,GLD
2021-02-01,14581.184217612827,3752.8530410380617,3629.075719066694,3776.388609204583,3422.8668483034867,SPY,HYG,VNQ,GLD
2021-03-01,14843.989982876901,3785.412882753446,3677.425675275069,3789.8048601316145,3591.346564716772,SPY,HYG,REM,GLD
2021-04-01,15283.576232650716,3807.1657651090886,3719.5431756070843,3929.877630944741,3826.9896609898,VXUS,HYG,REM,GLD
2021-05-01,15708.325944268523,3938.295911382015,3822.424164028279,3833.329123205466,4114.276745652762,VXUS,HYG,REM,GLD
2021-06-01,15848.369112169445,4002.06295191223,3979.200246342384,3940.884007796084,3926.221906118748,SPY,HYG,REM,BIL
2021-07-01,15921.232127742527,4072.0962268386447,3966.331278940605,3921.1458729884675,3961.658748974811,SPY,HYG,REM,BIL
2021-08-01,16169.47302168984,4098.760847294517,4004.917551288668,4085.920653889754,3979.873969216902,SPY,HYG,REM,BIL
2021-09-01,15850.167053923618,3841.6642353385596,4027.8123113949578,3937.881373144693,4042.8091340454084,SPY,HYG,REM,BIL
2021-10-01,16298.519472981912,4254.152761472595,3949.5080402189424,4132.749033071419,3962.1096382189558,SPY,HYG,REM,BIL
2021-11-01,16131.778102156166,4041.8914290861103,4027.4674579940465,3988.681998880523,4073.737216195486,SPY,HYG,VNQ,BIL
2021-12-01,16731.381402497973,4204.687151253881,4110.558063776411,4383.1916619286385,4032.9445255390415,SPY,HYG,VNQ,BIL
2022-01-01,16124.791683257585,3976.157228767807,4099.226381761497,3866.562722103788,4182.845350624493,SPY,HYG,VNQ,BIL
2022-02-01,16063.168122566318,3912.2093133434873,3982.1769335607014,3890.805074752649,4277.9768009094805,SPY,HYG,VNQ,GLD
2022-03-01,16481.51881289301,4153.842339641184,4016.669134867531,4244.112025192991,4066.895313191303,SPY,BIL,VNQ,GLD
2022-04-01,15899.98354011322,3770.4150493883867,4120.922051020873,3973.570807184425,4035.0756325195343,SPY,BIL,VNQ,GLD
2022-05-01,15714.991960031035,3975.627148768609,3975.627148768609,3788.1105137252084,3975.627148768609,BIL,BIL,VNQ,BIL
2022-06-01,15658.626474237986,3930.4671023079018,3930.4671023079018,3930.4671023079018,3867.2251673142814,BIL,BIL,BIL,GLD
2022-07-01,15660.507928105322,3915.1269820263306,3915.1269820263306,3915.1269820263306,3915.1269820263306,BIL,BIL,BIL,BIL
2022-08-01,15683.28833449746,3920.822083624365,3920.822083624365,3920.822083624365,3920.822083624365,BIL,BIL,BIL,BIL
2022-09-01,15708.513149457394,3927.1282873643486,3927.1282873643486,3927.1282873643486,3927.1282873643486,BIL,BIL,BIL,BIL
2022-10-01,15730.683194437452,3932.670798609363,3932.670798609363,3932.670798609363,3932.670798609363,BIL,BIL,BIL,BIL
2022-11-01,15771.104823390398,3942.7762058475996,3942.7762058475996,3942.7762058475996,3942.7762058475996,BIL,BIL,BIL,BIL
2022-12-01,15772.521098899982,3943.1302747249956,3943.1302747249956,3943.1302747249956,3943.1302747249956,BIL,BIL,BIL,BIL
2023-01-01,16102.28905981091,3977.354587228707,3977.354587228707,3977.354587228707,4170.225298124789,BIL,BIL,BIL,GLD
2023-02-01,16098.772920961559,4024.6932302403898,4024.6932302403898,4024.6932302403898,4024.6932302403898,BIL,BIL,BIL,BIL
2023-03-01,16177.344004903907,4044.336001225977,4044.336001225977,4044.336001225977,4044.336001225977,BIL,BIL,BIL,BIL
2023-04-01,16316.972514279252,4130.069449880325,4053.8453200245185,4053.8453200245185,4079.212424349891,VXUS,BIL,BIL,GLD
2023-05-01,16313.356091017755,4098.073544838909,4095.391205999819,4095.391205999819,4024.500134179208,SPY,BIL,BIL,GLD
2023-06-01,16559.71956710744,4326.543762616913,4149.115372279399,4096.316433725671,3987.7439984854573,SPY,HYG,BIL,GLD
2023-07-01,16824.349015308428,4287.931920968989,4152.543112444459,4152.543112444459,4231.330869450522,SPY,BIL,BIL,GLD
2023-08-01,16732.54329182705,4137.72972367164,4216.466696546601,4226.003465738741,4152.343405870066,SPY,HYG,BIL,GLD
2023-09-01,15946.703840729542,3970.7052558790965,4115.967468554394,3876.037076419591,3983.994039876461,SPY,HYG,REM,GLD
2023-10-01,16100.907093313177,3873.119020692271,3942.8680622991665,4004.3298909070054,4280.5901194147345,VXUS,HYG,BIL,GLD
2023-11-01,16681.23083034609,4365.769236801101,4195.360579727441,4018.4760330417857,4101.624980775761,SPY,HYG,BIL,GLD
2023-12-01,17182.63248482407,4343.096368836469,4285.761609990248,4329.998522827796,4223.775983169558,SPY,HYG,REM,GLD
2024-01-01,17430.910861498563,4381.766378739042,4341.613475917349,4353.765503421086,4353.765503421086,SPY,HYG,BIL,BIL
2024-02-01,17669.77743155395,4585.143810551383,4349.291490568184,4357.727715374641,4377.614415059743,SPY,HYG,BIL,GLD
2024-03-01,18405.954811228497,4547.773507241559,4462.4114154918925,4595.407147927491,4800.3627405675525,SPY,HYG,REM,GLD
2024-04-01,18055.4441835355,4429.678478514394,4541.968213358634,4344.747408002324,4739.050083660149,SPY,HYG,REM,GLD
2024-05-01,18564.241328120424,4742.170080432519,4586.870792816056,4648.263562668323,4586.936892203529,SPY,HYG,REM,GLD
2024-06-01,18749.014106331662,4789.346948700337,4666.127631570167,4658.730690244284,4634.808835816875,SPY,HYG,BIL,GLD
2024-07-01,19615.006261919247,4759.316706047156,4794.576077677994,5122.2858521231565,4938.827626070939,SPY,HYG,VNQ,GLD
2024-08-01,20164.286005386533,5018.330739316605,4979.845695176773,5159.759311001208,5006.350259891947,SPY,HYG,VNQ,GLD
2024-09-01,20720.020429925335,5131.218795681144,5128.775891088174,5162.421599537962,5297.604143618055,SPY,HYG,VNQ,GLD
2024-10-01,20705.70887652973,5149.527909035398,5105.1758066274,5048.293568942352,5402.711591924582,SPY,HYG,VNQ,GLD
2024-11-01,21157.56858613243,5485.115095294815,5260.844958451129,5396.899963348939,5014.708569037547,SPY,HYG,VNQ,GLD
2024-12-01,20873.20089927266,5144.812643749713,5223.607101717071,5289.908539429861,5214.872614376014,SPY,HYG,BIL,GLD
2025-01-01,21645.378737472398,5376.479756571693,5340.771472987862,5355.733892169064,5572.393615743777,SPY,HYG,VNQ,GLD
2025-02-01,21958.739623578975,5327.824474649449,5424.083092321956,5712.2014534926575,5494.63060311491,SPY,HYG,REM,GLD
2025-03-01,21899.028082468853,5168.2567282464925,5429.2497832165545,5293.248865385442,6008.272705620364,SPY,HYG,VNQ,GLD
2025-04-01,22308.157665360828,5646.360405388936,5494.910306824605,5395.586355984699,5771.300597162589,VXUS,VCIT,VNQ,GLD
2025-05-01,22612.32237913623,5700.177583834357,5626.464231747327,5651.543073951874,5634.137489602672,VXUS,HYG,VNQ,GLD
