Date,Portfolio,Equities,Bonds,REITs,Stress,Asset_Equities,Asset_Bonds,Asset_REITs,Asset_Stress
2023-03-01,16831.866258119106,4207.966564529776,4207.966564529776,4207.966564529776,4207.966564529776,BIL,BIL,BIL,BIL
2023-04-01,16974.907660701407,4297.1684075709345,4217.1168235454315,4217.1168235454315,4243.505606039607,VXUS,BIL,BIL,GLD
2023-05-01,17004.522179725172,4263.316612529156,4271.71588428053,4271.71588428053,4197.7737986349575,SPY,BIL,BIL,GLD
2023-06-01,17258.53927432293,4509.8505934865925,4324.907041908323,4268.458727319605,4155.322911608409,SPY,HYG,BIL,GLD
2023-07-01,17541.296836630783,4472.418624667391,4331.204752851178,4327.780430169156,4409.893028943057,SPY,BIL,BIL,GLD
2023-08-01,17442.47670846623,4314.054005848363,4396.1449704919705,4404.525123962967,4327.752608162932,SPY,HYG,BIL,GLD
2023-09-01,16622.087967046995,4139.174936644822,4290.600469237835,4040.4907815971915,4151.821779567146,SPY,HYG,REM,GLD
2023-10-01,16830.570744610315,4037.1559356667635,4115.489303589721,4179.639470392627,4498.286034961204,VXUS,HYG,BIL,GLD
2023-11-01,17465.560268779904,4591.984861685604,4385.486168327369,4200.586065895363,4287.503172871566,SPY,HYG,BIL,GLD
2023-12-01,17990.68710214742,4547.302415112393,4487.2710023432655,4533.589317568585,4422.5243671231765,SPY,HYG,REM,GLD
2024-01-01,18251.214248105473,4587.829486877566,4545.790713747135,4558.51056904062,4559.083478440152,SPY,HYG,BIL,BIL
2024-02-01,18501.321961748843,4800.921935529475,4553.970329007689,4562.803562026368,4583.626135185309,SPY,HYG,BIL,GLD
2024-03-01,19270.38629350923,4761.793255549258,4672.4127113529275,4811.668691812294,5024.5116347947505,SPY,HYG,REM,GLD
2024-04-01,18903.414266257096,4637.717035433749,4755.281231330511,4548.797506291563,4961.618493201275,SPY,HYG,REM,GLD
2024-05-01,19436.107236083633,4964.885391874126,4802.292184376967,4866.568255421916,4802.361404410624,SPY,HYG,REM,GLD
2024-06-01,19634.738282644703,5014.277677200094,4885.270363977729,4877.5279019045465,4857.662339562333,SPY,HYG,BIL,GLD
2024-07-01,20539.836369869285,4984.152094477149,5021.076645491883,5364.267795867076,5170.339834033177,SPY,HYG,VNQ,GLD
2024-08-01,21115.014173074513,5254.940572492211,5214.6410008643215,5403.037375604922,5242.395224113056,SPY,HYG,VNQ,GLD
2024-09-01,21696.951521564184,5373.151202428444,5370.593656699801,5405.825190761101,5547.381471674838,SPY,HYG,VNQ,GLD
2024-10-01,21681.964655055035,5392.323708325872,5345.879906829259,5286.316256415059,5657.444783484846,SPY,HYG,VNQ,GLD
2024-11-01,22155.12915739065,5743.733399048123,5508.889133352836,5651.359002001542,5251.147622988148,SPY,HYG,VNQ,GLD
2024-12-01,21895.239609374956,5387.385991392286,5469.896077431662,5539.323501973275,5498.634038577733,SPY,HYG,BIL,GLD
2025-01-01,22700.227339325167,5639.734561707455,5602.277305548402,5617.972893519086,5840.242578550224,SPY,HYG,VNQ,GLD
2025-02-01,23076.90263360205,5603.013172301558,5704.244222638857,6007.24369562969,5762.401543031945,SPY,HYG,REM,GLD
2025-03-01,23039.138777116073,5431.430006808563,5705.713673191494,5562.786880115813,6339.208217000201,SPY,HYG,VNQ,GLD
2025-04-01,23477.92203303737,5940.765933870605,5783.88494651883,5678.913893862118,6074.357258785815,VXUS,VCIT,VNQ,GLD
2025-05-01,23800.639502517624,5999.075624946536,5921.496993889056,5949.194586578972,5930.872297103064,VXUS,HYG,VNQ,GLD
